PLAYER NAME,AGE,COUNTRY,PLAYING ROLE,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,CAPTAINCY EXP,RUNS-S,HS,AVE,SR-B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR-BL,SOLD PRICE
Abdulla,2,South Africa,Allrounder,0,0,0,0,0,0,0,0,0,0,0,0,307,15,20.47,9.9,13.93,50000
Abdur Razzak,2,Bangladesh,Bowler,266,18,657,71.41,185,37.6,0,0,0,0,0,0,29,0,0,17.5,0,50000
Agarkar,2,India,Bowler,669,58,1269,80.62,288,32.9,0,167,39,18.56,121.01,5,1059,29,36.52,8.81,24.9,350000
Ashwin,1,India,Bowler,308,31,241,84.56,51,36.8,0,58,11,5.8,76.32,0,1125,49,22.96,8.23,22.14,850000
Badrinath,2,India,Batsman,109,0,79,45.93,0,0,0,1317,71,32.93,120.71,28,0,0,0,1,0,800000
Bailey,2,Australia,Batsman,0,0,172,72.26,0,0,1,63,48,21,95.45,0,0,0,0,1,0,50000
Balaji,2,India,Bowler,126,27,120,78.94,34,42.5,0,26,15,4.33,72.22,1,1342,52,25.81,7.98,19.4,500000
Bollinger,2,Australia,Bowler,108,50,50,92.59,62,31.3,0,21,16,21,165.88,1,693,37,18.73,9.22,15.57,700000
Botha,2,South Africa,Allrounder,133,17,609,85.77,72,53,1,335,67,30.45,114.73,3,610,11,32.11,9.85,28.11,950000
Boucher,2,South Africa,W. Keeper,5545,1,4686,84.76,0,0,1,394,50,28.14,127.51,13,0,0,0,1,0,450000
Bravo,2,West Indies,Allrounder,2219,86,2004,81.39,142,34.1,0,839,70,27.97,127.12,38,1338,47,28.47,8.12,21.11,200000
Chanderpaul,3,West Indies,Batsman,9930,9,8778,88.2,14,52.8,1,25,16,8.33,80.64,0,0,0,0,3,0,200000
Chawla,1,India,Allrounder,64,3,38,65.51,32,41,0,337,24,13.48,113.09,9,1819,73,126.3,39.11,100.2,400000
de Villiers,2,South Africa,W. Keeper,5545,2,4998,93.19,0,0,1,1302,105,34.26,128.53,42,0,0,0,2,0,300000
Dhawan,2,India,Batsman,0,0,69,56.09,0,0,0,1540,95,31.43,120,36,66,4,16.5,11.25,12,300000
Dhoni,2,India,W. Keeper,3571,0,6773,88.19,1,12,1,1800,70,37.13,136.45,64,0,0,0,2,0,1500000
Dilshan,2,Sri Lanka,Allrounder,4820,32,6455,86.8,67,58.3,1,1077,76,28.34,117.83,24,356,5,71.2,11.07,53,250000
Dinda,2,India,Bowler,13,0,18,60,5,61.4,0,6,2,1,33.33,0,926,36,25.72,8.29,21.19,375000
Dravid,3,India,Batsman,13381,1,10889,66,4,46.5,1,1703,75,27.92,116.88,23,0,0,0,1,0,500000
Duminy,2,South Africa,Batsman,742,11,2536,84,25,47.6,0,978,74,36.22,119.27,35,377,10,37.7,8.11,31.8,300000
Edwards,2,West Indies,Bowler,429,157,73,45.62,60,35.6,0,4,3,4,80,0,154,5,20,9.6,28,150000
Fernando,2,Sri Lanka,Bowler,311,97,239,60.96,187,34.7,0,4,2,0,133.33,0,298,17,17.53,9.64,13.76,150000
Fleming,3,New Zealand,Batsman,7237,0,8037,71.49,1,29,1,196,45,21.77,118.78,3,0,0,0,2,0,350000
Flintoff,2,England,Allrounder,3941,226,3394,88.82,169,33.2,1,62,24,31,116.98,2,105,2,52.5,12.55,33,1550000
Gambhir,2,India,Batsman,3791,0,4819,86.17,0,0,1,2065,93,33.31,128.9,32,0,0,0,0,0,725000
Ganguly,3,India,Batsman,7275,32,11363,73.7,100,45.6,1,1349,91,25.45,106.81,42,363,10,36.3,9.89,27.6,400000
Gayle,2,West Indies,Allrounder,6459,72,8087,83.95,156,44.4,1,1804,128,50.11,161.79,129,606,13,46.62,11.05,34.85,800000
Gibbs,3,South Africa,Batsman,6215,0,8094,83.26,0,0,1,900,69,27.69,109.79,31,0,0,0,0,0,575000
Gilchrist,3,Australia,W. Keeper,5642,0,9619,96.94,0,0,1,1775,109,27.73,140.21,86,0,0,0,0,0,700000
Gony,2,India,Bowler,92,0,0,0,2,39,0,54,15,9,117.39,5,999,30,33.3,8.47,23.6,290000
Harbhajan Singh,2,India,Bowler,2232,406,1190,80.51,259,46.5,1,430,49,16.54,151.41,22,1469,54,27.2,8.85,23.83,850000
Harris,2,Australia,Bowler,291,46,48,100,44,23.4,0,115,17,10.45,107.48,3,975,44,22.16,9.71,17.27,325000
Hayden,3,Australia,Batsman,8673,0,6133,78.96,0,0,0,1107,93,36.9,137.52,44,0,0,0,3,0,375000
Henderson,3,South Africa,Allrounder,72,0,0,0,0,0,0,11,11,5.5,68.75,1,40,1,40,8.66,36,650000
Henriques,1,Australia,Allrounder,79,0,18,60,1,90,0,49,30,16.33,108.89,1,142,3,47.33,8.82,32.33,50000
Hodge,3,Australia,Batsman,577,0,575,78,1,66,0,1006,73,31.44,121.5,28,300,17,17.65,7.89,13.41,425000
Hopes,2,Australia,Allrounder,26,0,1326,93.71,67,47.1,0,417,71,26.06,136.27,11,548,14,39.14,12.13,25.71,350000
Hussey,2,Australia,Allrounder,50,0,1488,91.4,18,36.2,0,971,71,26.24,125.78,48,345,6,57.5,11.85,39,625000
Hussey,3,Australia,Batsman,5757,7,5262,86.97,2,117,1,958,116,39.92,120.65,25,0,0,0,0,0,250000
Jadeja,1,India,Allrounder,11,0,860,78.61,57,46.2,0,904,48,23.18,120.86,35,750,26,28.85,7.33,23.65,950000
Jaffer,2,India,Allrounder,1970,2,10,43.47,0,0,0,130,50,16.25,107.44,3,0,0,0,0,0,150000
Jayasuriya,3,Sri Lanka,Allrounder,7066,98,13430,91.21,323,46,1,768,114,27.43,144.36,39,390,13,30,7.96,22.62,975000
Jayawardena,2,Sri Lanka,Batsman,10505,6,10596,78.08,7,83.1,1,1471,110,30.65,128.02,33,0,0,0,1,0,475000
Kaif,2,India,Batsman,696,0,2753,72.03,0,0,0,259,34,14.39,103.6,6,0,0,0,0,0,675000
Kallis,3,South Africa,Allrounder,12393,276,11498,72.97,270,39.3,1,1965,89,30.7,110.95,37,1713,45,38.07,7.96,28.71,900000
Kamran Akmal,2,Pakistan,W. Keeper,2706,0,2924,84.31,0,0,0,128,53,25.6,164.1,8,0,0,0,3,0,150000
Kamran Khan,1,India,Bowler,56,0,0,0,0,0,0,3,3,3,60,0,224,9,24.89,11.48,17.78,24000
Karthik,2,India,W. Keeper,1015,0,1008,74.5,0,0,0,1231,69,24.14,123.84,28,0,0,0,1,0,525000
Kartik,2,India,Bowler,155,24,126,70.78,37,51.5,0,111,21,18.5,105.71,1,1013,21,48.24,9.02,41.33,425000
Katich,3,Australia,Batsman,4230,21,1324,68.74,0,0,0,241,75,24.1,129.57,8,0,0,0,0,0,200000
Kohli,1,India,Batsman,548,0,3590,86.31,2,137,1,1639,73,28.26,119.29,49,345,4,86.25,8.84,58.5,1800000
Kumar,1,India,Bowler,214,27,292,88.21,77,42.1,0,243,34,10.57,114.08,14,1919,53,36.21,10.73,28.11,800000
Kumble,3,India,Bowler,2566,619,938,61.06,337,43,1,35,8,11.67,74.47,0,105,2,52.5,10.55,33,500000
Langeveldt,3,South Africa,Bowler,48,16,73,58.87,100,34.8,0,8,8,4,88.89,1,187,13,14.38,10.19,12,140000
Laxman,3,India,Batsman,8811,2,2338,71.23,0,0,1,282,52,15.67,105.62,5,0,0,0,1,0,375000
Lee,2,Australia,Bowler,1478,310,1100,82.45,377,29.2,0,103,25,11.44,121.18,6,1009,21,48.05,8.56,38.24,900000
Maharoof,2,Sri Lanka,Allrounder,640,25,1042,84.44,133,33.3,0,177,39,17.7,143.9,9,520,27,19.26,7.43,15.56,225000
Malinga,2,Sri Lanka,Bowler,334,101,327,73.81,185,31.1,0,64,17,5.82,100,4,1381,83,16.64,7.36,15.69,350000
Mascarenhas,2,England,Allrounder,34,0,245,95.33,13,63.2,0,74,27,8.22,101.37,1,331,19,17.42,7.01,14.95,100000
Mathews,1,Sri Lanka,Allrounder,1235,7,1447,82.59,42,43,0,376,65,25.07,123.28,12,537,15,35.8,8.2,26.33,950000
McCullum,2,New Zealand,W. Keeper,3795,0,4511,89.62,0,0,1,1233,158,28.02,123.42,48,0,0,0,2,0,700000
McDonald,2,Australia,Allrounder,182,9,0,0,0,0,0,123,33,30.75,125.51,4,244,10,24.4,11.41,17.4,80000
McGrath,3,Australia,Bowler,706,563,115,48.72,381,34,0,4,4,4,80,0,357,12,29.75,8.61,27,350000
Misbah-ul-Haq,3,Pakistan,Batsman,2218,0,2763,75.1,0,0,1,117,47,16.71,144.44,6,0,0,0,1,0,100000
